name,eng_position,DIVISION,attack_percentage,block_total,serve_percentage,receive_percentage,dig_percentage,set_percentage,total_point_score,national_team
吳閩育,Libero,Womens Division,,0.0,0.0,0.4922,0.4358,,0.0,0
葉軒岑,Middle Blocker,Womens Division,0.3056,18.0,0.0096,0.3333,0.2823,,167.0,0
吳詠涵,Outside Hitter,Womens Division,0.2692,0.0,0.0164,0.3333,0.2444,,8.0,0
鄭聖叡,Opposite Hitter,Mens Division,0.3361,5.0,0.0302,0.3794,0.1121,,92.0,0
張皓博,Outside Hitter,Mens Division,0.4008,13.0,0.0149,0.5135,0.2636,,121.0,0
陳佑誠,Libero,Mens Division,,0.0,,0.5686,0.3638,,0.0,0
施宇祥,Outside Hitter,Mens Division,0.4403,25.0,0.0281,0.6171,0.3397,,236.0,0
張安成,Middle Blocker,Mens Division,0.3429,7.0,0.0,0.0,0.25,,19.0,0
高宇浩,Outside Hitter,Mens Division,0.4082,4.0,0.0357,0.5763,0.1429,,26.0,0
郭其昌,Outside Hitter,Mens Division,0.4,0.0,0.0,0.1667,0.0,,2.0,0
鄭偉志,Outside Hitter,Mens Division,0.439,3.0,0.0282,0.6116,0.1842,,61.0,0
吳承翰,Opposite Hitter,Mens Division,0.3793,2.0,0.0,,0.0,,13.0,0
李赫軒,Libero,Mens Division,,0.0,0.0,0.6667,0.2793,,0.0,0
莊皓崴,Setter,Mens Division,0.3846,2.0,0.0,0.0,0.0933,0.3212,7.0,0
何京威,Outside Hitter,Mens Division,0.4649,6.0,0.0303,0.4969,0.2329,,95.0,0
李俊佑,Middle Blocker,Mens Division,0.4714,75.0,0.0244,0.3333,0.2473,,192.0,0
林良黛,Outside Hitter,Womens Division,0.2994,14.0,0.0518,0.4502,0.3253,0.0,271.0,0
翁梓勻,Middle Blocker,Womens Division,0.3673,26.0,0.05,0.375,0.2966,,190.0,0
丁佩瑩,Libero,Womens Division,,0.0,,0.3261,0.3712,,0.0,0
陳思妤,Outside Hitter,Womens Division,0.2927,7.0,0.0377,0.3526,0.2829,0.0,181.0,0
包茵綺,Middle Blocker,Womens Division,0.3431,37.0,0.036,0.3448,0.2206,1.0,163.0,0
許恆芸,Opposite Hitter,Womens Division,0.2793,10.0,0.0733,0.3333,0.2688,,114.0,0
池長璇,Outside Hitter,Womens Division,0.3258,5.0,0.0385,0.1923,0.275,0.0,50.0,0
鍾虹薰,Libero,Womens Division,0.0,0.0,,0.5833,0.4467,,0.0,0
張家瑋,Setter,Mens Division,1.0,0.0,0.0204,,0.125,0.4468,2.0,0
畢宗元,Middle Blocker,Mens Division,0.5789,16.0,0.0111,0.7778,0.0833,,50.0,0
